time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.57,428217,-2391.95704,1178.53343,-1686.4109,1
-59.569,428218,-2390.69819,1177.29306,-1685.00006,1
-59.568,428219,-2390.29229,1176.68957,-1683.89261,1
-59.567,428220,-2394.83386,1175.77493,-1682.47193,1
-59.566,428221,-2407.77403,1173.87623,-1681.56534,1
-59.565,428222,-2428.23839,1171.63002,-1681.34362,1
-59.564,428223,-2427.63907,1171.66519,-1679.03334,1
-59.563,428224,-2399.095,1172.56552,-1674.77936,1
-59.562,428225,-2378.54034,1174.87639,-1675.4815,1
-59.561,428226,-2375.67395,1175.98981,-1676.60952,1
-59.56,428227,-2377.12592,1176.34326,-1679.8839,1
-59.559,428228,-2372.49523,1175.85719,-1680.76307,1
-59.558,428229,-2360.48073,1178.17044,-1679.54236,1
-59.557,428230,-2336.94077,1181.19359,-1678.55382,1
-59.556,428231,-2327.20762,1183.15905,-1680.79793,1
-59.555,428232,-2350.26896,1181.80662,-1685.99337,1
-59.554,428233,-2382.50107,1180.78858,-1688.01904,1
-59.553,428234,-2392.13049,1178.72,-1685.38809,1
-59.552,428235,-2390.85436,1177.18935,-1684.04639,1
-59.551,428236,-2391.03705,1177.38813,-1682.79856,1
-59.55,428237,-2397.24606,1175.86553,-1682.50322,1
-59.549,428238,-2414.86788,1174.69639,-1682.81138,1
-59.548,428239,-2432.18273,1172.61916,-1680.97675,1
-59.547,428240,-2423.72841,1172.30445,-1677.47945,1
-59.546,428241,-2392.28696,1173.98679,-1675.1498,1
-59.545,428242,-2377.7321,1175.49866,-1676.15354,1
-59.544,428243,-2379.435,1175.84854,-1678.18218,1
-59.543,428244,-2377.60067,1175.26501,-1678.47008,1
-59.542,428245,-2369.83567,1175.85689,-1679.41451,1
-59.541,428246,-2354.44129,1178.39873,-1681.38087,1
-59.54,428247,-2330.93113,1182.28197,-1680.11397,1
-59.539,428248,-2331.45803,1182.68102,-1682.63048,1
